Name,Latitude,Longitude,Description,Tag,Kind,City,Country,Local name,Days,Place ID
Unni Guide Center,37.504500,127.025000,"מרכז בגנגנאם שמתאים מרפאות וטיפולים למבקרים. ייעוץ עד 16:00, לפני Moclock.",attraction,culture,Seoul,KR,언니 가이드 센터,29/8,unni-guide
Yeonnam Chwihyang,37.561900,126.925400,מסעדת אוכל מערבי ביונאם — ארוחת צהריים 30 באוג׳ 15:00. לעיתים תור; נפתח 12:30.,attraction,food,Seoul,KR,연남취향,30/8,yeonnam-chwihyang
Yeonnam-dong,37.566200,126.925400,"שכונת קפה ובוטיקים שקטה ליד הונגדה, לאורך פסי הרכבת הישנים.",attraction,food,Seoul,KR,연남동,30/8,yeonnam
Akihabara,35.702300,139.774500,"עיירת החשמל — כלבו אנימה בקומות, משחקי רטרו, ארקיידים ומסעדות מייד. חובה: עשר הקומות של Radio Kaikan, ואז ארקייד GiGO. טיפ: המציאות הנדירות בקומות העליונות — להתחיל למעלה ולרדת; דרכון ל־tax-free.",attraction,shopping,Tokyo,JP,秋葉原,5/9,akihabara
Ameyoko Market,35.709500,139.774500,שוק רחוב תוסס מתחת למסילות ליד אואינו. נשנושים בדרך לאקיהברה.,attraction,market,Tokyo,JP,アメ横,5/9,ameyoko
Asakusa / Senso-ji,35.714800,139.796700,"המקדש העתיק של טוקיו (645 לספירה) — הפנס האדום של Kaminarimon, קדרת הקטורת, פגודה בת חמש קומות. חובה: אומיקוג׳י + צילומי Nakamise לפני שהדוכנים נפתחים (~09:30–10:00). טיפ: השטח פתוח 24 שעות והאולם מ־6:00 — לפני 8:30 מנצחים את הקבוצות.",attraction,culture,Tokyo,JP,浅草寺,5/9,asakusa
Azabudai Hills,35.660500,139.740000,מתחם גורדי השחקים החדש של טוקיו. חנויות ותצפית מקרוב על המגדל האדום.,attraction,culture,Tokyo,JP,麻布台ヒルズ,"4/9, 21/9",azabudai
Bonus Track / Reload,35.661000,139.667200,"שני מתחמים חדשים בשימוקיטה: ספרים עצמאיים, קליית קפה וישיבה בחוץ.",attraction,food,Tokyo,JP,ボーナストラック / リロード,6/9,bonus-track
Cat Street,35.665800,139.703800,"רחוב אחורי נמוך של סטריטוור, וינטג׳ וקפה שמחבר הראג׳וקו לשיבויה. חובה: קפה לקחת בין הבוטיקים. טיפ: הקטע הכי רגוע ביום — להשתמש בו כשחרור בין קהלים.",attraction,shopping,Tokyo,JP,キャットストリート,3/9,cat-street
Cross Shinjuku Vision (3D Cat),35.691200,139.701800,חתול תלת־ממדי ענק על בניין ביציאה המזרחית של שינג׳וקו. עצירת 2 דקות.,attraction,icon,Tokyo,JP,クロス新宿ビジョン,2/9,cross-shinjuku-vision
Daikanyama T-Site,35.649200,139.703200,"כפר חנויות הספרים של Tsutaya — שלושה בניינים מכוסי קיסוס, ספרי אמנות, ויניל וקפה מרפסת. חובה: קיר המגזינים והמרפסת בערב. טיפ: לא במסלול; 10 דק׳ משיבויה אם מדלגים על PARCO.",attraction,culture,Tokyo,JP,代官山T-SITE,,daikanyama
Daimaru Tokyo depachika,35.681400,139.767900,קומת האוכל של הכלבו בתחנה. Tokyo Banana ומתנות מתוקות הביתה.,attraction,food,Tokyo,JP,大丸東京店,25/9,daimaru-tokyo
Enoshima,35.299700,139.480800,אי קטן שמחובר לגשר. סמטאות שעולות למקדש ושקיעה מול הים.,attraction,nature,Tokyo,JP,江の島,24/9,enoshima
Enoshima Sea Candle,35.299500,139.475800,מגדלור־תצפית על האי. השקיעה הכי טובה באנושימה.,attraction,view,Tokyo,JP,江の島シーキャンドル,24/9,sea-candle
Enoshima Shrine,35.300300,139.479600,מקדש בראש האי אנושימה. מגיעים אחרי עלייה בסמטאות.,attraction,shrine,Tokyo,JP,江島神社,24/9,enoshima-shrine
Ghibli Museum,35.696200,139.570300,"המוזיאון ההפכפך של מיאזאקי במיטאקה — כרטיסים רק במכירה מראש ב־10 לחודש הקודם (10:00 שעון יפן, Lawson), בלי מכירה בדלת. לא במסלול אלא אם יופיעו החזרות.",attraction,park,Tokyo,JP,三鷹の森ジブリ美術館,,ghibli
Ginza,35.671200,139.764900,"הרחוב המלוטש של טוקיו — חנויות דגל ב־12 קומות (Uniqlo, Itoya), Ginza Six ואולמות אוכל במרתף. חובה: קומת האוכל של Mitsukoshi + גן הגג החינמי של Ginza Six. טיפ: בסופי שבוע וחגים Chuo-dori נסגר לרכבים 12:00–18:00 (אפר׳–ספט׳).",attraction,food,Tokyo,JP,銀座,23/9,ginza
Hama-rikyu Gardens,35.659700,139.763500,"שטח ציד הברווזים של השוגון על מפרץ טוקיו — בריכות מי ים, אי בית תה, וגורדי שחקים מעל האורנים. חובה: בית התה Nakajima-no-ichiken באמצע הבריכה. טיפ: נפתח 9:00, 300 ין, כניסה אחרונה 16:30; 10 דק׳ מגינזה 8 — הגן שחסר בלינה הזו.",attraction,park,Tokyo,JP,浜離宮恩賜庭園,23/9,hamarikyu
Harmonica Yokocho,35.703300,139.579200,סמטאות מקורות עם אוכל וברים ליד תחנת קיצ׳וג׳י.,attraction,food,Tokyo,JP,ハモニカ横丁,6/9,harmonica
Hasedera Temple,35.312800,139.533300,מקדש על גבעה בקמאקורה עם גנים ונוף למפרץ.,attraction,temple,Tokyo,JP,長谷寺,24/9,hasedera
Imperial Palace East Gardens,35.686500,139.757500,"גני מצודת אדו חינם כ־10 דק׳ מתחנת טוקיו — הגן הפנימי שאי אפשר לבקר בו בטיול הזה. חובה: לדלג. טיפ: סגור בימי שני ושישי (25/9 זה שישי); Kokyo Gaien / ניג׳ובאשי ליד הוא התחליף, פתוח 24/7.",attraction,park,Tokyo,JP,皇居東御苑,,imperial-east
Inokashira Park,35.700000,139.575000,פארק אגם עם סירות ליד קיצ׳וג׳י. הליכה ירוקה רגועה.,attraction,park,Tokyo,JP,井の頭恩賜公園,6/9,inokashira
Isetan Shinjuku depachika,35.691700,139.704600,"מרתף האוכל הכי רציני בכלבו ביפן — וואגיו, ווגאשי עונתי, בנטו ארוז ומרתף שהמקומיים באמת משתמשים בו. חובה: כמה דלפקים ואז ישיבה באיט־אין. טיפ: בדרך מגיון לתחנת שינג׳וקו; דרכון ל־tax-free למעלה, מזומן או IC במרתף.",attraction,food,Tokyo,JP,伊勢丹新宿店,2/9,isetan-shinjuku
Kabukicho,35.695000,139.702600,"רובע חיי הלילה הניאון ליד המלון בשינג׳וקו. לטייל בחוץ, לא להיכנס למועדונים חשודים.",attraction,nightlife,Tokyo,JP,歌舞伎町,2/9,kabukicho
Kamakura / Kotoku-in,35.316700,139.535700,פסל הבודהה הענק (דאיבוצו) יושב בחוץ במקדש Kotoku-in.,attraction,temple,Tokyo,JP,鎌倉・高徳院,24/9,kamakura
Kamakurakokomae crossing,35.306600,139.500400,מעבר החצייה המפורסם עם המסילה והים. עצירת Enoden קצרה לצילום.,attraction,icon,Tokyo,JP,鎌倉高校前,24/9,kamakurakokomae
Kappabashi Street,35.715500,139.787000,"800 מ׳ של חנויות ציוד למסעדות בין אסאקוסה לאואינו — סכינים מחושלים, קרמיקה, אוכל פלסטיק מטעה. חובה: סכין מטבח עם חריטת שם במקום. טיפ: רוב החנויות נסגרות ~17:00; הגדולות עושות tax-free עם דרכון.",attraction,food,Tokyo,JP,合羽橋道具街,5/9,kappabashi
Kegon Falls,36.738000,139.445000,מפל גבוה ליד האגם. יורדים במעלית לתצפית הקרובה.,attraction,nature,Tokyo,JP,華厳の滝,22/9,kegon-falls
Kichijoji,35.703100,139.579800,"נבחרת שוב ושוב כשכונה הכי טובה למגורים בטוקיו — ארקדת Sun Road, בוטיקים, קפה ג׳אז ליד אינוקאשירה. חובה: התור למנצ׳י־קאצו של Satou. טיפ: קודם לולאת הפארק, צהריים אחרי.",attraction,food,Tokyo,JP,吉祥寺,6/9,kichijoji
Kokyo Gaien & Nijubashi,35.679000,139.755000,"הגן הטקסי של הארמון — מדשאות אורנים, תעלות ברבורים, ותצפית ניג׳ובאשי עם המגדל מאחור. חובה: ניג׳ובאשי מעבר למואט מהכיכר. טיפ: חינם ופתוח תמיד — בניגוד לגנים המזרחיים שלידם, שסגורים בימי שני ושישי (לכן זו תמונת הארמון של 25/9).",attraction,park,Tokyo,JP,皇居外苑・二重橋,25/9,kokyo-gaien
Komachi-dori,35.319200,139.551000,רחוב מזכרות ואוכל רחוב ליד תחנת קמאקורה.,attraction,food,Tokyo,JP,小町通り,24/9,komachi-dori
Lake Chuzenji,36.739000,139.447000,אגם הררי מעל ניקו. אוויר קריר וצהריים מול המים.,attraction,nature,Tokyo,JP,中禅寺湖,22/9,chuzenji
Meiji Jingu,35.676400,139.699300,"מקדש שינטו לקיסר מייג׳י מוסתר ביער של 100,000 עצים — שקט מוחלט חמש דקות מהראג׳וקו. חובה: הטוריי הענק מקפריס וקיר חביות הסאקה. טיפ: פתוח מזריחה; לפני 9:00 אפשר לתפוס תהלוכת חתונה במקום אוטובוסים.",attraction,shrine,Tokyo,JP,明治神宮,3/9,meiji-jingu
Miyashita Park,35.661600,139.701100,פארק על גג קניון ליד תחנת שיבויה. עצירת קפה לפני Shibuya Sky.,attraction,park,Tokyo,JP,宮下パーク,3/9,miyashita-park
Nakameguro / Meguro River,35.644200,139.698800,"בוטיקים וקפה לאורך תעלת מגורו, תחנה אחת דרומית לדאיקאנמה. חובה: שביל הדובדבן לאורך התעלה (יפה גם מחוץ לעונה). טיפ: לא מתוזמן — רק אם מוותרים על בלוק קניות בשיבויה.",attraction,food,Tokyo,JP,中目黒,,nakameguro
Nakano Broadway,35.709300,139.665200,"מבוך קומות של וינטג׳, דמויות, Mandarake ושעונים יד־שנייה.",attraction,culture,Tokyo,JP,中野ブロードウェイ,21/9,nakano-broadway
New York Bar (Park Hyatt),35.685500,139.690500,"בר הג׳אז מ־Lost in Translation בקומה 52 של Park Hyatt שינג׳וקו. חובה: מושב ליד החלון בשעה כחולה. טיפ: נפתח מחדש בדצמ׳ 2025; להזמין שבועות מראש, לא walk-in.",attraction,view,Tokyo,JP,ニューヨークバー,,ny-bar
Nihonbashi,35.684000,139.774400,"הגשר ההיסטורי שממנו נמדדה יפן, פלוס Pokémon Center DX במתחם ליד.",attraction,icon,Tokyo,JP,日本橋,23/9,nihonbashi
Nikko Toshogu Shrine,36.758100,139.598800,"המקדש המוזהב והמפואר ביותר בניקו (UNESCO). כניסה אחרונה ~16:00, סגירה 17:00.",attraction,shrine,Tokyo,JP,日光東照宮,22/9,nikko-toshogu
Nonbei Yokocho,35.659200,139.701600,"רצועת פנסים של ~30 איזאקאיה זעירים ליד מסילות JR, שתי דקות מיציאת Shibuya Sky. חובה: דלפק אחד, היייבול אחד, רכבות מעליכם. טיפ: רוב המקומות רוצים מזומן ודמי כיסוי קטנים; ללכת ישר אחרי ה־Sky לפני הרעש של Center-gai.",attraction,food,Tokyo,JP,のんべい横丁,3/9,nonbei-yokocho
Odaiba / DiverCity Gundam,35.625100,139.775500,"אי מלאכותי במפרץ — גאנדאם יוניקורן 20 מ׳, קניון DiverCity, פסל חירות רטרו. חובה: מופעי טרנספורמציה 11:00/13:00/15:00/17:00 (מופעי אור אחרי החשכה). טיפ: הפארק הימי ממסגר את Rainbow Bridge עם העיר מאחור — הכי יפה באור מאוחר.",attraction,park,Tokyo,JP,お台場,4/9,odaiba
Omoide Yokocho (Memory Lane),35.693500,139.699500,"סמטת יקיטורי ממלחמת העולם השנייה, פנסים אדומים מתחת למסילות שינג׳וקו. חובה: שיפודי פחם + בירה, כתף-אל-כתף בדלפק. טיפ: כמעט רק מזומן ודמי ישיבה נורמליים; לשבת לפני 21:00.",attraction,food,Tokyo,JP,思い出横丁,2/9,omoide-yokocho
Omotesando,35.665200,139.712200,"שדרת הזלקובה של חנויות דגל — השאנז־אליזה של טוקיו. חובה: בניין הקריסטל של פראדה וחזית דיור של SANAA. טיפ: חנויות דגל עושות tax-free מעל 5,000 ין — דרכון בדלפק.",attraction,shopping,Tokyo,JP,表参道,3/9,omotesando
Roppongi,35.662800,139.731400,רובע חיי לילה ומסעדות. ערב טוב אחרי מגדל טוקיו.,attraction,nightlife,Tokyo,JP,六本木,"4/9, 21/9",roppongi
Ryogoku Kokugikan,35.697100,139.793500,אצטדיון הסומו הלאומי — טורניר ספטמבר (Aki basho) רץ ~13–27/9 וחופף ללינה השנייה בטוקיו. חובה: אחר־צהריים בזירה אם מופיעים כרטיסים. טיפ: לא הוזמן במסלול; לבדוק החזרות בבוקר אצל איגוד הסומו / NHK.,attraction,culture,Tokyo,JP,両国国技館,,ryogoku
Senkyaku Banrai (Toyosu),35.645000,139.784200,מתחם אוכל ליד שוק טויוסו. צהריים רגועים אחרי teamLab Planets.,attraction,market,Tokyo,JP,千客万来,4/9,senkyaku-banrai
Shiba Park,35.654800,139.748500,מדשאות מול המגדל האדום. זווית לילה רחבה ופסטורלית.,attraction,park,Tokyo,JP,芝公園,21/9,shiba-park
Shibuya Crossing,35.659500,139.700500,"עד 3,000 איש בכל אור ירוק בהצלבה הסואנת בעולם, מתחת למסכי וידאו. חובה: חלון הסטארבקס ב־Tsutaya או Mag's Park מעל 109. טיפ: לחצות כמה פעמים — לילות גשם עם מטריות הם הכי קולנועיים.",attraction,icon,Tokyo,JP,渋谷スクランブル交差点,3/9,shibuya-crossing
Shibuya PARCO,35.661900,139.698300,"קומה 6 לחובבי פופ: Nintendo, Pokémon Center, JUMP Shop ו־Capcom.",attraction,shopping,Tokyo,JP,渋谷PARCO,3/9,shibuya-parco
Shibuya Sky,35.658500,139.702400,"דק פתוח 229 מ׳ מעל ההצלבה — פינות זכוכית, מדשאת גג, פוג׳י בשקיעה כשבהיר. חובה: הפינה בדיוק מעל ההצלבה בשעה הזהובה. טיפ: כרטיסים נפתחים בדיוק 4 שבועות מראש בחצות יפן ונחטפים בדקות — ב־3/9 שקיעה ~18:05, כניסה 17:00–17:30. בלי חצובות.",attraction,view,Tokyo,JP,渋谷スカイ,3/9,shibuya-sky
Shimokitazawa,35.661600,139.668300,"רובע וינטג׳, תקליטים וקפה אינדי. לא לפספס את Bonus Track / Reload.",attraction,shopping,Tokyo,JP,下北沢,6/9,shimokitazawa
Shin-Okubo Koreatown,35.701300,139.700100,"קוריאה־טאון של טוקיו, 10 דק׳ צפונית למלון. אוכל רחוב וקוסמטיקה אם יש כוח.",attraction,food,Tokyo,JP,新大久保,,shin-okubo
Shinjuku,35.693800,139.703400,"חדר המנוע הניאון של טוקיו — התחנה העמוסה בעולם, חנויות ענק וקומות איזאקאיה. חובה: ניאון יסוקוני־דורי משער קבוקיצ׳ו. טיפ: לנווט לפי ציוני דרך ביציאה המזרחית; התחנה עצמה בולעת מתחילים.",attraction,food,Tokyo,JP,新宿,,shinjuku
Shinjuku Golden Gai,35.693800,139.704700,"שש סמטאות פנסים, 200+ ברים בגודל ארון — לכל אחד נושא וקבועים. חובה: לבחור דלת לפי המוזיקה ולדבר עם הבעלים. טיפ: לבדוק שלטי דמי כיסוי (~500–1,000 ין נורמלי); כוס אחת לכל בר, ואז לעבור.",attraction,nightlife,Tokyo,JP,新宿ゴールデン街,2/9,golden-gai
Shinjuku Gyoen,35.685200,139.710100,"גן אימפריאלי לשעבר שמשלב נוף צרפתי, אנגלי ויפני — הנשימה העמוקה ביותר בטוקיו. חובה: הבריכה והביתן בגן היפני. טיפ: 500 ין; עד סוף ספטמבר פתוח עד 18:00 (כניסה אחרונה 17:30), סגור בימי שני; בלי אלכוהול.",attraction,park,Tokyo,JP,新宿御苑,2/9,shinjuku-gyoen
Shinkyo Bridge,36.753600,139.600400,הגשר האדום על הנהר בכניסה למתחם המקדשים בניקו. עצירת צילום.,attraction,icon,Tokyo,JP,神橋,22/9,shinkyo
Street Kart Tokyo,35.658500,139.701500,"קארטים אמיתיים בתחפושת שזולגים בתוך התנועה בלילה — אבסורדי, רועש, בלתי נשכח. חובה: לנהוג בקניוני הניאון בתחפושת מלאה. טיפ: IDP פיזי לפי אמנת 1949 + דרכון חובה (רישיון ישראלי או דיגיטלי = סירוב בלי החזר); תור ערב ~19:00 ולהתלבש חם.",attraction,park,Tokyo,JP,ストリートカート東京,6/9,street-kart
Takeshita Street,35.670200,139.705000,"מסדרון אופנת הנוער של הראג׳וקו, 350 מ׳ — קרפים, פוריקורה ומרצ׳ איידולים. חובה: קרפ קצפת מ־Marion Crepes. טיפ: חנויות נפתחות ~10:00–10:30 וזה כתף-אל-כתף עד הצהריים — לבוא ממש בפתיחה.",attraction,food,Tokyo,JP,竹下通り,3/9,takeshita
teamLab Borderless,35.660600,139.740300,מוזיאון דיגיטלי בתוך Azabudai Hills. חדרים בלי סוף; כרטיס עם שעה אם הולכים.,attraction,culture,Tokyo,JP,チームラボボーダレス,21/9,teamlab-borderless
teamLab Planets Tokyo,35.649000,139.786800,"אמנות דיגיטלית יחפה שצועדים בתוכה — מים עד הברך עם קוי מוקרן, חדרי מראות, גן פרחים צף. חובה: אורות הקוי מתפזרים סביב הקרסוליים בחדר המים. טיפ: חובה כרטיס עם שעה; מכנסיים שאפשר להפשיל, לוקרים במקום, כשעה וחצי–שעתיים.",attraction,culture,Tokyo,JP,チームラボプラネッツ,4/9,teamlab-planets
Tofu Ukai stairs (Tokyo Tower),35.657300,139.744800,"המדרגות המפורסמות לצילום טוקיו טאוור מלמטה למעלה, ליד המסעדה.",attraction,view,Tokyo,JP,とうふ屋うかい,21/9,tofu-ukai
Tokyo Character Street,35.681000,139.768500,"שורת חנויות רשמיות (Pokémon, Ghibli, Sanrio, JUMP) במרתף תחנת טוקיו.",attraction,shopping,Tokyo,JP,東京キャラクターストリート,25/9,tokyo-character-street
Tokyo DisneySea,35.626700,139.885100,פארק Disney ייחודי — לא במסלול שלנו.,attraction,park,Tokyo,JP,東京ディズニーシー,,disneysea
Tokyo Metropolitan Government Building,35.689600,139.691700,"מצפה חינם בגובה 202 מ׳ בבניין העירייה התאום. חובה: רשת הניאון של שינג׳וקו בשעה כחולה — צללית פוג׳י ביום בהיר. טיפ: מגדל דרום עד 22:00; בידוק קצר, בלי הזמנה.",attraction,view,Tokyo,JP,東京都庁,2/9,tocho
Tokyo Skytree,35.710100,139.810700,"המבנה הגבוה ביפן (634 מ׳) מעל קניון Solamachi. הזווית החינמית הכי טובה: גדת הסומידה וגשר Jukken בדרך. טיפ: הדקים אופציונליים — אם עולים, כרטיס עם שעה אונליין מדלג על התור.",attraction,view,Tokyo,JP,東京スカイツリー,5/9,skytree
Tokyo Tower,35.658600,139.745400,המגדל האדום הקלאסי של טוקיו. הכי יפה מואר בלילה.,attraction,view,Tokyo,JP,東京タワー,"4/9, 21/9",tokyo-tower
Tokyu Plaza Omotesando (Omohara Forest),35.668900,139.705800,"קניון המראות בפינת Omotesando / Meiji-dori שגג ״Omohara Forest״ שלו ממסגר את הראג׳וקו בהשתקפויות. חובה: הסלפי במדרגות הנעות והעצים מעל Takeshita. טיפ: 10 דקות מספיקות; החנויות נפתחות ~11:00 אבל הגג הוא עצירת צילום, לא קניון.",attraction,icon,Tokyo,JP,トウキョウプラザ表参道原宿,3/9,omohara-forest
Tsukiji Outer Market,35.665400,139.770700,"הסמטאות החיצוניות של שוק הדגים הישן עדיין אורזות 100+ דוכני אוכל וחנויות סכינים. חובה: סושי בעמידה או קייסנדון, טמאגויאקי על מקל לקינוח. טיפ: כמעט רק מזומן ומתדלדל עד ~14:00 — שטרות קטנים, אוכלים ליד הדוכן לא בהליכה.",attraction,food,Tokyo,JP,築地場外市場,"4/9, 23/9",tsukiji
Ueno Park,35.714700,139.773300,"פארק גדול עם מוזיאונים ומקדשים. לא ביום מתוכנן, רק אם יש עודף זמן.",attraction,park,Tokyo,JP,上野公園,,ueno-park
Yoyogi Park,35.671100,139.694900,פארק ירוק בין מקדש מייג׳י להראג׳וקו. מעבר קצר בדרך ל־Takeshita.,attraction,park,Tokyo,JP,代々木公園,3/9,yoyogi
Yurakucho Yakitori Alley,35.675100,139.763000,"סמטאות יקיטורי ואיזאקאיה מתחת למסילות JR, ליד גינזה.",attraction,food,Tokyo,JP,有楽町 焼き鳥横丁,23/9,yurakucho
Zojo-ji Temple,35.657400,139.748400,"מקדש משפחת טוקוגאווה בטוקיו, עם שער Sangedatsumon ענק ושורות ג׳יזו תחת מגדל טוקיו. חובה: השער ממסגר את הסריג הכתום אחרי החשכה. טיפ: השטח חינם ופתוח עד מאוחר; שתי דקות מפארק שיבא — קודם השער, אחר כך המדשאות.",attraction,shrine,Tokyo,JP,増上寺,"4/9, 21/9",zojoji
Chureito Pagoda,35.501200,138.801300,פגודה אדומה מול פוג׳י. כ־400 מדרגות; הכי יפה בזריחה לפני Fuji-Q.,attraction,icon,Kawaguchiko,JP,忠霊塔,8/9,chureito
Fuji-Q Highland,35.487100,138.780600,פארק רכבות הרים מהקשים בעולם. המלון צמוד לשער.,attraction,park,Kawaguchiko,JP,富士急ハイランド,8/9,fuji-q
Lawson Kawaguchiko Station,35.498300,138.768900,חנות הנוחות המפורסמת עם הר פוג׳י ברקע. צילום של 30 שניות ליד התחנה.,attraction,icon,Kawaguchiko,JP,ローソン河口湖駅前,"7/9, 8/9, 9/9",fuji-lawson
Mount Fuji Panoramic Ropeway,35.505400,138.760700,רכבל קצר לנקודת תצפית על האגם ופוג׳י מלמעלה.,attraction,view,Kawaguchiko,JP,富士山パノラマロープウェイ,7/9,fuji-panoramic-ropeway
Oishi Park,35.524500,138.747000,פארק על שפת האגם מול פוג׳י. התצפית הכי פתוחה בקו האדום.,attraction,view,Kawaguchiko,JP,大石公園,7/9,oishi-park
Gotemba Premium Outlets,35.308600,138.936500,אאוטלט גדול עם נוף לפוג׳י. עצירת קניות בדרך מקוואגוצ׳יקו להקונה.,attraction,shopping,Hakone,JP,御殿場プレミアム・アウトレット,9/9,gotemba-outlets
Hakone Open-Air Museum,35.244500,139.051500,מוזיאון פסלים באוויר הפתוח בהקונה.,attraction,culture,Hakone,JP,箱根彫刻の森美術館,,open-air
Hakone Shrine,35.205100,139.025600,הטוריי האדום הצף באגם אשי. צילום הקלאסיקה של הקונה.,attraction,shrine,Hakone,JP,箱根神社,10/9,hakone-shrine
